date,home,away,goals_home,goals_away,season
"Fri Aug 9, 2019",Portimonense,Belenenses SAD,0,0,2019
"Sat Aug 10, 2019",Santa Clara,Famalicão,0,2,2019
"Sat Aug 10, 2019",Gil Vicente,FC Porto,2,1,2019
"Sat Aug 10, 2019",Benfica,Paços Ferreira,5,0,2019
"Sun Aug 11, 2019",Boavista,Desportivo Aves,2,1,2019
"Sun Aug 11, 2019",Marítimo,Sporting CP,1,1,2019
"Sun Aug 11, 2019",Braga,Moreirense ,3,1,2019
"Mon Aug 12, 2019",Vitória Setúbal,Tondela,0,0,2019
"Sun Sep 8, 2019",Rio Ave FC,Vit. Guimarães,1,1,2019
"Fri Aug 16, 2019",Famalicão,Rio Ave FC,1,0,2019
"Sat Aug 17, 2019",Moreirense,Gil Vicente,3,0,2019
"Sat Aug 17, 2019",Belenenses SAD,Benfica,0,2,2019
"Sat Aug 17, 2019",FC Porto,Vitória Setúbal,4,0,2019
"Sun Aug 18, 2019",Desportivo Aves,Marítimo,3,1,2019
"Sun Aug 18, 2019",Paços Ferreira,Santa Clara,0,1,2019
"Sun Aug 18, 2019",Vit. Guimarães,Boavista,1,1,2019
"Sun Aug 18, 2019",Sporting CP,Braga,2,1,2019
"Mon Aug 19, 2019",Tondela,Portimonense,1,2,2019
"Fri Aug 23, 2019",Vitória Setúbal,Moreirense ,0,0,2019
"Fri Aug 23, 2019",Rio Ave FC,Desportivo Aves,5,1,2019
"Sat Aug 24, 2019",Benfica,FC Porto,0,2,2019
"Sat Aug 24, 2019",Boavista,Paços Ferreira,1,1,2019
"Sun Aug 25, 2019",Marítimo,Tondela,2,3,2019
"Sun Aug 25, 2019",Santa Clara,Belenenses SAD,0,0,2019
"Sun Aug 25, 2019",Portimonense,Sporting CP,1,3,2019
"Sun Aug 25, 2019",Gil Vicente,Braga,1,1,2019
"Sun Aug 25, 2019",Vit. Guimarães,Famalicão,1,1,2019
"Fri Aug 30, 2019",Moreirense,Portimonense,1,0,2019
"Fri Aug 30, 2019",Belenenses SAD,Boavista,0,1,2019
"Sat Aug 31, 2019",Desportivo Aves,Famalicão,2,3,2019
"Sat Aug 31, 2019",Paços Ferreira,Marítimo,0,1,2019
"Sat Aug 31, 2019",Sporting CP,Rio Ave FC,2,3,2019
"Sat Aug 31, 2019",Gil Vicente,Vitória Setúbal,0,0,2019
"Sun Sep 1, 2019",Tondela,Santa Clara,0,0,2019
"Sun Sep 1, 2019",FC Porto,Vit. Guimarães,3,0,2019
"Sun Sep 1, 2019",Braga,Benfica,0,4,2019
"Fri Sep 13, 2019",Vitória Setúbal,Braga,1,0,2019
"Sat Sep 14, 2019",Famalicão,Paços Ferreira,4,2,2019
"Sat Sep 14, 2019",Benfica,Gil Vicente,2,0,2019
"Sat Sep 14, 2019",Vit. Guimarães,Desportivo Aves,5,1,2019
"Sun Sep 15, 2019",Marítimo,Belenenses SAD,1,3,2019
"Sun Sep 15, 2019",Rio Ave FC,Tondela,2,4,2019
"Sun Sep 15, 2019",Santa Clara,Moreirense ,2,0,2019
"Sun Sep 15, 2019",Portimonense,FC Porto,2,3,2019
"Sun Sep 15, 2019",Boavista,Sporting CP,1,1,2019
"Fri Sep 20, 2019",Paços Ferreira,Desportivo Aves,2,1,2019
"Sat Sep 21, 2019",Belenenses SAD,Rio Ave FC,0,2,2019
"Sat Sep 21, 2019",Moreirense,Benfica,1,2,2019
"Sun Sep 22, 2019",Gil Vicente,Boavista,0,0,2019
"Sun Sep 22, 2019",Vitória Setúbal,Portimonense,0,0,2019
"Sun Sep 22, 2019",Tondela,Vit. Guimarães,1,3,2019
"Sun Sep 22, 2019",FC Porto,Santa Clara,2,0,2019
"Mon Sep 23, 2019",Braga,Marítimo,2,2,2019
"Mon Sep 23, 2019",Sporting CP,Famalicão,1,2,2019
"Fri Sep 27, 2019",Boavista,Tondela,0,0,2019
"Sat Sep 28, 2019",Marítimo,Moreirense ,2,1,2019
"Sat Sep 28, 2019",Benfica,Vitória Setúbal,1,0,2019
"Sat Sep 28, 2019",Famalicão,Belenenses SAD,3,1,2019
"Sun Sep 29, 2019",Vit. Guimarães,Paços Ferreira,1,0,2019
"Sun Sep 29, 2019",Santa Clara,Gil Vicente,1,0,2019
"Sun Sep 29, 2019",Portimonense,Braga,0,1,2019
"Sun Sep 29, 2019",Rio Ave FC,FC Porto,0,1,2019
"Mon Sep 30, 2019",Desportivo Aves,Sporting CP,0,1,2019
"Fri Oct 25, 2019",Paços Ferreira,Rio Ave FC,0,0,2019
"Sat Oct 26, 2019",Belenenses SAD,Desportivo Aves,3,2,2019
"Sat Oct 26, 2019",Gil Vicente,Portimonense,1,1,2019
"Sat Oct 26, 2019",Vitória Setúbal,Marítimo,0,0,2019
"Sat Oct 26, 2019",Moreirense,Boavista,1,1,2019
"Sun Oct 27, 2019",Tondela,Benfica,0,1,2019
"Sun Oct 27, 2019",FC Porto,Famalicão,3,0,2019
"Sun Oct 27, 2019",Sporting CP,Vit. Guimarães,3,1,2019
"Mon Oct 28, 2019",Braga,Santa Clara,2,0,2019
"Sat Oct 5, 2019",Desportivo Aves,Tondela,0,1,2019
"Wed Oct 30, 2019",Rio Ave FC,Moreirense ,1,1,2019
"Wed Oct 30, 2019",Marítimo,FC Porto,1,1,2019
